ma_cua_hang,ten_cua_hang,dia_chi,dien_thoai,hotline,email,gio_mo_cua,website,lat,lng,tinh_thanh,loai_cua_hang,featured_image_url
KH027,Cửa hàng Bluera Việt Nhật Tài Dung,"Ấp An Hòa, Xã An Hảo, Thị Xã Tịnh Biên, Tỉnh An Giang",0977451216,0976336181,,,,10.487304983602293,105.0229238831014,An Giang,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH064,Đại lý Bluera Việt Nhật Bảo Thắng,"A254/5 Bàu Bàng, Chánh Nghĩa, TP. Thủ Dầu Một, Bình Dương",0918224868,,,,,10.973351063469384,106.65546322868269,Bình Dương,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH065,Đại lý Bluera Việt Nhật Phi Hùng Phát,"Thửa đất số 163, Tờ bản đồ số 18, Tổ 2, Khu phố Ông Đông, Phường Tân Hiệp, Thành phố Tân Uyên, Tỉnh Bình Dương",0823332999,,,,,10.968042018186635,106.9514186045143,Bình Dương,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH074,Cửa hàng Bluera Việt Nhật Ngọc Bình,"Quốc Lộ 14 cầu Bù Na, Thôn 3, xã Nghĩa Trung, Huyện Bù Đăng, Tỉnh Bình Phước",0974531521,0376562939,,,,11.66860558882823,107.06523931538409,Bình Phước,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH108,Đại lý Bluera Việt Nhật Linh Ngân,"Số 881, đường Quốc lộ 14, Phường Tân Bình, Thành Phố Đồng Xoài",0908151166,,,,,10.789255,106.747014,Bình Phước,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH114,Cửa hàng Bluera Việt Nhật Huỳnh Hiền,"Số nhà 254 ,đường dt 766, Tổ 2,Thôn 1b, Trà Tân, Đức Linh ,Bình Thuận",0399229939,0387411749,,,,11.05608875277741,107.46927259288675,Bình Thuận,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH165,Cửa hàng Bluera Việt Nhật Huỳnh Sơn,"447A Nguyễn Đình Chiểu, Phường 3, Thành phố Tân An, Long An",0913780918,,,,,10.53575147635912,106.41789390942171,Long An,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH179,Cửa hàng Bluera Việt Nhật Nhựt Lê,"Đường Tây Đô, TTTM Phong Điền, Cần Thơ (Đối diện quán cafe Góc Phố)",0774003338,0772065224,,,,9.99947808980444,105.66765406344588,Cần Thơ,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH211,Cửa hàng Bluera Việt Nhật Hiệp Bình,"59A Hiệp Bình KP6, Hiệp Bình Phước, TP. Thủ Đức, TP. HCM",0908122368,,,,,10.846459651849004,106.72103579817278,Hồ Chí Minh,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH213,Cửa hàng Bluera Việt Nhật Nhân Tâm,"1099 Lê Văn Lương, Ấp 63, Xã Nhà Bè, TP Hồ Chí Minh",0909021835,0909940838,,,,10.706457116214516,106.70335674717982,Hồ Chí Minh,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH215,Cửa hàng Bluera Việt Nhật Thành Ý,"22A1, Nguyễn Ảnh Thủ, Phường Tân Thới Hiệp, Tp. Hồ Chí Minh",0969369066,0971780854,,,,10.87663825861973,106.64459738092731,Hồ Chí Minh,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH216,Cửa hàng Bluera Việt Nhật Thùy Linh,"147 Phan Huy Ích, Phường Tân Sơn, Tp. Hồ Chí Minh",0931827299,0931827399,,,,10.83167683571377,106.63328681164475,Hồ Chí Minh,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH254,Đại lý Bluera Việt Nhật Chung Chín,"C11/1 Quốc Lộ 1A, Khu phố 3, Thị Trấn Tân Túc, Bình Chánh, Tp. HCM",0975000151,0916657799,,,,10.677770886057587,106.58457916768573,Hồ Chí Minh,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH301,Đại lý Bluera Việt Nhật Long Tứ,"1127 QL80, khu phố Đông Hưng, Thị trấn Tân Hiệp, Huyện Tân Hiệp, Tỉnh Kiên Giang",0932990054,0939499233,,,,10.120700696453117,105.28770114526115,Kiên Giang,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH318,Đại lý Bluera Việt Nhật Hồng An,"177 Khu phố Thanh Ba. Thị Trấn Cần Giuộc, Tỉnh Long An",0909059478,0909447358,,,,10.597300717188034,106.66990557207073,Long An,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH336,Đại lý Bluera Việt Nhật An Duy,"Ngã 3 chợ cũ, Thôn 7, Xã Lộc An, Huyện Bảo Lâm, Tỉnh Lâm Đồng",0838149149,0773373739,,,,11.547941601986151,107.90251950958744,Lâm Đồng,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH337,Đại lý Bluera Việt Nhật Quốc Việt,"Tổ Dân Phố 6, Thị Trấn Cát Tiên, Huyện Đạ Huoai, Tỉnh Lâm Đồng",0911232117,0797118998,,,,11.56534918768193,107.31274324296778,Lâm Đồng,dai-ly-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH362,Cửa hàng Bluera Việt Nhật Phước Hưng,"107 Dương Minh Quang, Phường 3, TP. Sóc Trăng, Tỉnh Sóc Trăng",0932515999,,,,,,,Sóc Trăng,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH363,Cửa hàng Bluera Việt Nhật Mạnh Tường,"495E, Ấp An Phú, Thị Trấn Kế Sách, Huyện Kế Sách, Tỉnh Sóc Trăng",0988449199,,,,,9.766197408947171,105.97809258664142,Sóc Trăng,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
KH364,Cửa hàng Bluera Việt Nhật Ánh May,"Ấp An Trạch, Xã An Ninh, TP. Cần Thơ",0363731533,0869860368,,,,9.65720766472688,105.94430577174835,Cần Thơ,cua-hang-uy-quyen,https://dailyxedien.vn/wp-content/uploads/2025/12/z7295601335572_7f2a4c7d95dc282bc-1.jpg
